YEAR,QUARTER,ORIGIN,DEST,TICKET_CARRIER,MARKET_MILES_FLOWN,PASSENGERS
2017,4,ABQ,ATL,DL,1269.0,52.0
2017,4,ABQ,DAL,WN,580.0,314.0
2017,4,ABQ,DEN,WN,349.0,371.0
2017,4,ABQ,HOU,WN,759.0,68.0
2017,4,ABQ,LAS,WN,486.0,331.0
2017,4,ABQ,LAX,WN,677.0,363.0
2017,4,ABQ,MDW,WN,1121.0,44.0
2017,4,ABQ,OAK,WN,889.0,251.0
2017,4,ABQ,PHX,WN,328.0,782.0
2017,4,ABQ,SAN,WN,628.0,209.0
2017,4,ACY,FLL,NK,977.0,609.0
2017,4,ACY,MCO,NK,852.0,690.0
2017,4,ACY,MYR,NK,466.0,326.0
2017,4,ACY,PBI,NK,936.0,245.0
2017,4,ACY,RSW,NK,982.0,283.0
2017,4,ACY,TPA,NK,913.0,160.0
2017,4,ALB,ATL,DL,853.0,42.0
2017,4,ALB,BWI,WN,289.0,138.0
2017,4,ALB,MCO,WN,1073.0,287.0
2017,4,ALB,TPA,WN,1130.0,96.0
2017,4,AMA,DAL,WN,323.0,149.0
2017,4,AMA,LAS,WN,758.0,84.0
2017,4,ANC,BET,AS,399.0,199.0
2017,4,ANC,BRW,AS,725.0,63.0
2017,4,ANC,FAI,AS,261.0,157.0
2017,4,ANC,HNL,AS,2777.0,70.0
2017,4,ANC,JNU,AS,571.0,197.0
2017,4,ANC,OME,AS,539.0,107.0
2017,4,ANC,OTZ,AS,548.0,109.0
2017,4,ANC,SCC,AS,626.0,192.0
2017,4,ANC,SEA,AS,1448.0,1012.0
2017,4,ATL,ABQ,DL,1269.0,52.0
2017,4,ATL,ALB,DL,853.0,42.0
2017,4,ATL,AUS,DL,813.0,142.0
2017,4,ATL,AUS,WN,813.0,132.0
2017,4,ATL,BDL,DL,859.0,192.0
2017,4,ATL,BOS,B6,946.0,565.0
2017,4,ATL,BOS,DL,946.0,1616.0
2017,4,ATL,BOS,NK,946.0,127.0
2017,4,ATL,BOS,WN,946.0,437.0
2017,4,ATL,BUF,DL,712.0,96.0
2017,4,ATL,BWI,DL,577.0,386.0
2017,4,ATL,BWI,NK,577.0,739.0
2017,4,ATL,BWI,WN,577.0,1459.0
2017,4,ATL,CHS,DL,259.0,45.0
2017,4,ATL,CLE,DL,554.0,110.0
2017,4,ATL,CLE,NK,554.0,153.0
2017,4,ATL,CLE,WN,554.0,40.0
2017,4,ATL,CMH,DL,447.0,64.0
2017,4,ATL,CMH,WN,447.0,83.0
2017,4,ATL,DAL,DL,721.0,99.0
2017,4,ATL,DAL,WN,721.0,848.0
2017,4,ATL,DCA,AA,547.0,89.0
2017,4,ATL,DCA,DL,547.0,1217.0
2017,4,ATL,DCA,WN,547.0,912.0
2017,4,ATL,DEN,DL,1199.0,588.0
2017,4,ATL,DEN,F9,1199.0,443.0
2017,4,ATL,DEN,WN,1199.0,440.0
2017,4,ATL,DFW,AA,731.0,1075.0
2017,4,ATL,DFW,DL,731.0,395.0
2017,4,ATL,DFW,NK,731.0,44.0
2017,4,ATL,DTW,DL,594.0,315.0
2017,4,ATL,DTW,NK,594.0,418.0
2017,4,ATL,DTW,WN,594.0,321.0
2017,4,ATL,EWR,DL,746.0,271.0
2017,4,ATL,EWR,UA,746.0,2084.0
2017,4,ATL,FLL,AA,858.0,40.0
2017,4,ATL,FLL,DL,581.0,1169.0
2017,4,ATL,FLL,NK,581.0,312.0
2017,4,ATL,FLL,WN,581.0,991.0
2017,4,ATL,HNL,DL,4502.0,48.0
2017,4,ATL,HOU,DL,696.0,49.0
2017,4,ATL,HOU,WN,696.0,1205.0
2017,4,ATL,IAD,DL,534.0,73.0
2017,4,ATL,IAH,DL,689.0,115.0
2017,4,ATL,IAH,NK,689.0,146.0
2017,4,ATL,IND,DL,432.0,60.0
2017,4,ATL,JAX,DL,270.0,56.0
2017,4,ATL,JFK,DL,760.0,247.0
2017,4,ATL,LAS,DL,1747.0,838.0
2017,4,ATL,LAS,F9,1747.0,151.0
2017,4,ATL,LAS,NK,1747.0,51.0
2017,4,ATL,LAS,WN,1747.0,367.0
